Month,Department,Budgeted Amount,Actual Spending,Variance,Merchant,Description,Date,Feature
Mar,Operations,18054,19613,1559,Uber,ride to work,2027-05-16,Transportation
Apr,Marketing,17370,17174,-196,Shell,diesel,2023-01-31,Fuel
Feb,HR,6281,7347,1066,Shell,petrol,2028-02-09,Fuel
Feb,Finance,7974,6566,-1408,Starbucks,drinks,2028-08-09,Food & Dining
Oct,Finance,13942,12266,-1676,Shell,petrol,2028-05-23,Fuel
Apr,Sales,11110,10167,-943,Starbucks,coffee,2029-02-23,Food & Dining
May,IT,8296,6323,-1973,Apple Store,app purchase,2028-01-28,Digital Services
May,Marketing,14178,16947,2769,Starbucks,food,2025-06-27,Food & Dining
Jul,Sales,9214,7731,-1483,Netflix,entertainment,2023-03-24,Entertainment
Oct,Finance,9092,10187,1095,Netflix,movie subscription,2027-04-16,Entertainment
Jul,Finance,6444,3543,-2901,Starbucks,drinks,2029-07-08,Food & Dining
Mar,Marketing,18713,21688,2975,McDonald's,meal,2026-06-22,Food & Dining
Dec,Marketing,6278,7468,1190,Netflix,monthly subscription,2024-11-09,Subscription
May,Operations,19556,18699,-857,Flipkart,online_shopping,2029-08-01,Shopping
Feb,Operations,9939,9514,-425,Flipkart,movie subscription,2028-10-17,Entertainment
Dec,IT,5571,3063,-2508,Flipkart,online shopping,2026-09-06,Shopping
Jan,Finance,14812,15869,1057,Uber,ride to work,2023-07-18,Transportation
Apr,Marketing,16619,18876,2257,McDonald's,food,2028-06-17,Food & Dining
Apr,Finance,16038,15598,-440,Amazon,online shopping,2026-01-21,Shopping
Jun,HR,8809,7161,-1648,Apple Store,app purchase,2026-07-31,Digital Services
Sep,IT,13274,13644,370,Netflix,movie,2024-09-03,Entertainment
Nov,Finance,8117,8921,804,Flipkart,online_shopping,2028-06-16,Shopping
Oct,Finance,6566,8321,1755,Amazon,online shopping,2024-04-01,Shopping
Apr,HR,15755,18521,2766,Apple Store,online shopping,2029-05-29,Shopping
Sep,Operations,16630,16637,7,Amazon,movie subscription,2028-11-13,Entertainment
Feb,HR,5424,8197,2773,Starbucks,coffee,2024-07-24,Food & Dining
Jan,Finance,12324,14480,2156,Shell,petrol,2027-11-29,Fuel
Nov,Operations,14548,13644,-904,Flipkart,movie subscription,2024-03-19,Entertainment
Aug,Marketing,14808,14157,-651,Flipkart,online_shopping,2029-09-14,Shopping
Jul,Sales,12167,11364,-803,Amazon,movie subscription,2024-10-26,Entertainment
Sep,Finance,18024,19038,1014,Apple Store,online shopping,2024-11-24,Shopping
Mar,Operations,13457,14086,629,Amazon,movie subscription,2028-02-01,Entertainment
Aug,HR,18113,16984,-1129,Shell,fuel purchase,2028-01-08,Fuel
Oct,HR,14578,12337,-2241,Flipkart,online shopping,2029-04-12,Shopping
Nov,IT,9004,6420,-2584,Starbucks,coffee,2029-03-15,Food & Dining
Dec,Sales,18089,18795,706,Shell,fuel purchase,2023-11-28,Fuel
Aug,Marketing,5141,3710,-1431,Apple Store,online shopping,2025-01-26,Shopping
Oct,IT,8677,9194,517,Shell,petrol,2024-06-03,Fuel
Jul,Operations,5876,7934,2058,Starbucks,food,2024-09-01,Food & Dining
Mar,Finance,11206,10313,-893,Amazon,online shopping,2028-03-19,Shopping
Jun,Operations,6687,6526,-161,Flipkart,online_shopping,2026-04-08,Shopping
Jan,Finance,18442,16669,-1773,Apple Store,online shopping,2023-09-03,Shopping
Jan,Sales,8516,9460,944,Flipkart,movie subscription,2029-01-13,Entertainment
Oct,Operations,11939,9623,-2316,Netflix,entertainment,2023-05-08,Entertainment
Aug,IT,8394,8371,-23,McDonald's,food,2028-05-29,Food & Dining
Oct,Operations,10910,13744,2834,Apple Store,app purchase,2023-07-02,Digital Services
Jun,Operations,11059,12329,1270,Flipkart,online_shopping,2026-04-10,Shopping
Nov,IT,14238,13176,-1062,Netflix,movie,2026-01-09,Entertainment
Apr,Operations,14185,16063,1878,Uber,ride to work,2026-04-05,Transportation
Nov,Sales,19299,18507,-792,Starbucks,drinks,2023-09-07,Food & Dining
Oct,Marketing,9679,6774,-2905,Starbucks,food,2027-01-13,Food & Dining
Apr,Operations,11273,13148,1875,Shell,petrol,2027-02-04,Fuel
May,HR,14720,14054,-666,Amazon,online shopping,2025-01-19,Shopping
May,Marketing,10624,8393,-2231,Netflix,monthly subscription,2023-01-25,Subscription
Aug,IT,17687,19061,1374,Shell,fuel purchase,2025-12-10,Fuel
Mar,Finance,19790,18912,-878,Amazon,online shopping,2029-03-12,Shopping
Feb,Marketing,10991,9479,-1512,Flipkart,online_shopping,2027-12-05,Shopping
Aug,Marketing,16793,19111,2318,McDonald's,coffee purchase,2026-01-11,Food & Dining
Apr,Finance,17104,19370,2266,Apple Store,online shopping,2027-05-26,Shopping
Mar,IT,12436,12797,361,McDonald's,drinks,2027-01-12,Food & Dining
Feb,Finance,7441,8047,606,Apple Store,app purchase,2027-05-07,Digital Services
Aug,HR,16425,19133,2708,Amazon,online shopping,2028-03-03,Shopping
Feb,HR,18931,20459,1528,Uber,travel,2029-10-16,Transportation
Dec,Finance,19621,20204,583,McDonald's,food,2024-09-21,Food & Dining
Dec,Finance,7307,10217,2910,McDonald's,drinks,2025-10-14,Food & Dining
Aug,Sales,14015,16779,2764,Starbucks,coffee,2024-11-07,Food & Dining
Feb,Sales,18528,21033,2505,Uber,ride,2027-04-27,Transportation
Jan,IT,8473,6978,-1495,Starbucks,drinks,2025-04-01,Food & Dining
Nov,Sales,16871,15673,-1198,Shell,petrol,2026-04-23,Fuel
Mar,Finance,8728,6852,-1876,McDonald's,coffee purchase,2024-12-10,Food & Dining
Jul,Sales,9589,6598,-2991,Amazon,movie subscription,2027-06-02,Entertainment
Oct,IT,19977,18783,-1194,Flipkart,online_shopping,2024-10-22,Shopping
Jan,Sales,8951,6918,-2033,Netflix,movie subscription,2026-08-23,Entertainment
Jun,Marketing,7997,5296,-2701,Starbucks,food,2025-05-02,Food & Dining
Oct,Finance,18016,20684,2668,McDonald's,coffee purchase,2027-08-22,Food & Dining
Jun,IT,13622,12931,-691,Uber,travel,2026-06-11,Transportation
Sep,IT,15574,17003,1429,Flipkart,movie subscription,2027-04-14,Entertainment
Nov,IT,16922,18991,2069,McDonald's,food,2023-10-06,Food & Dining
Dec,IT,9290,11940,2650,McDonald's,drinks,2028-03-06,Food & Dining
Aug,Operations,6480,8067,1587,Netflix,entertainment,2024-03-31,Entertainment
Feb,Operations,14749,12005,-2744,Uber,ride,2023-01-17,Transportation
Jul,Marketing,16391,15765,-626,Amazon,online_shopping,2029-02-11,Shopping
Feb,HR,12465,11418,-1047,Shell,diesel,2026-06-27,Fuel
May,Marketing,13564,13160,-404,McDonald's,food,2026-05-24,Food & Dining
May,HR,8559,10094,1535,Uber,travel,2024-03-22,Transportation
Oct,Marketing,18019,20682,2663,Starbucks,coffee,2028-03-16,Food & Dining
Apr,Sales,5919,4509,-1410,Apple Store,app purchase,2027-08-10,Digital Services
Sep,HR,16053,14738,-1315,Starbucks,food,2023-08-25,Food & Dining
Aug,Sales,16219,16459,240,Flipkart,online_shopping,2028-11-25,Shopping
Jul,Finance,7122,4992,-2130,McDonald's,coffee purchase,2025-05-06,Food & Dining
Dec,IT,11195,13022,1827,Uber,ride,2027-09-14,Transportation
Sep,Marketing,19729,21543,1814,Uber,ride to work,2028-08-18,Transportation
Dec,HR,17951,19665,1714,Apple Store,online shopping,2024-04-28,Shopping
Jul,HR,13460,11468,-1992,Amazon,online shopping,2023-09-29,Shopping
May,HR,5761,6428,667,McDonald's,food,2024-08-02,Food & Dining
Oct,Sales,8175,9908,1733,Starbucks,drinks,2025-02-07,Food & Dining
Sep,Operations,11361,8574,-2787,Flipkart,online shopping,2025-02-02,Shopping
Nov,Sales,11052,13382,2330,Apple Store,online shopping,2028-03-31,Shopping
Aug,Operations,16760,18356,1596,Shell,diesel,2026-03-25,Fuel
Jan,Finance,10984,13065,2081,Flipkart,online_shopping,2027-09-08,Shopping
Jun,Sales,6235,4104,-2131,Netflix,monthly subscription,2029-05-07,Subscription
Apr,Sales,13000,14076,1076,Uber,ride to work,2024-06-09,Transportation
Dec,HR,14581,16402,1821,Apple Store,online shopping,2027-08-07,Shopping
Sep,Operations,10330,8174,-2156,Starbucks,food,2025-03-20,Food & Dining
Nov,IT,18242,16584,-1658,Flipkart,online shopping,2024-04-24,Shopping
Sep,IT,14458,12701,-1757,Flipkart,online_shopping,2025-09-17,Shopping
Jun,Marketing,7350,5681,-1669,Amazon,movie subscription,2024-03-05,Entertainment
Oct,Finance,7301,5043,-2258,Shell,petrol,2024-01-30,Fuel
Feb,Operations,8439,9661,1222,Amazon,online_shopping,2027-07-15,Shopping
Jan,Sales,19546,22482,2936,Netflix,monthly subscription,2025-03-25,Subscription
Nov,Sales,9972,7615,-2357,Apple Store,app purchase,2026-07-15,Digital Services
Jun,HR,17064,18957,1893,Apple Store,online shopping,2026-03-30,Shopping
Sep,HR,19172,17119,-2053,Apple Store,online shopping,2027-01-28,Shopping
Feb,IT,8998,6754,-2244,Starbucks,food,2025-11-08,Food & Dining
Jan,Sales,19231,20108,877,Shell,fuel purchase,2027-12-22,Fuel
Aug,HR,8558,9513,955,Starbucks,food,2024-07-25,Food & Dining
Jan,Sales,17548,20087,2539,Starbucks,food,2024-10-19,Food & Dining
Mar,IT,14168,13346,-822,McDonald's,drinks,2029-05-24,Food & Dining
Jan,Operations,13675,15974,2299,Apple Store,app purchase,2028-09-17,Digital Services
Sep,Finance,9803,8366,-1437,Flipkart,online_shopping,2025-07-15,Shopping
Feb,Sales,10102,11448,1346,Shell,fuel purchase,2025-02-04,Fuel
Mar,Operations,16184,17485,1301,McDonald's,meal,2027-12-22,Food & Dining
Sep,Operations,5825,7924,2099,Shell,diesel,2028-09-04,Fuel
Dec,Marketing,14137,14073,-64,Uber,travel,2025-02-27,Transportation
Jan,Finance,16803,19409,2606,McDonald's,drinks,2025-02-09,Food & Dining
Nov,Marketing,7982,10070,2088,Uber,ride,2026-11-09,Transportation
Jul,Finance,7815,10579,2764,Uber,ride,2028-03-21,Transportation
Aug,Marketing,16579,17721,1142,Shell,diesel,2023-01-15,Fuel
Sep,Marketing,18500,16465,-2035,Shell,diesel,2029-06-07,Fuel
Mar,Finance,13886,11194,-2692,Uber,travel,2023-05-19,Transportation
Dec,Sales,17800,18382,582,Starbucks,food,2025-10-18,Food & Dining
Oct,Finance,16275,13357,-2918,Starbucks,coffee,2027-06-03,Food & Dining
Jul,Operations,19054,19446,392,Netflix,entertainment,2023-12-16,Entertainment
Jun,Sales,5507,6134,627,Flipkart,movie subscription,2026-02-16,Entertainment
Dec,Finance,8603,6321,-2282,Shell,fuel purchase,2024-11-16,Fuel
Jun,Finance,5284,6223,939,Amazon,movie subscription,2028-08-08,Entertainment
Feb,Marketing,17746,19267,1521,Amazon,online_shopping,2024-05-20,Shopping
Feb,IT,11263,13711,2448,McDonald's,coffee purchase,2027-07-14,Food & Dining
Jun,Finance,17291,14382,-2909,Amazon,movie subscription,2024-10-01,Entertainment
Apr,Finance,5900,3904,-1996,Starbucks,drinks,2028-09-12,Food & Dining
Nov,Sales,14617,17297,2680,Uber,ride to work,2023-03-01,Transportation
Jan,Finance,17182,14690,-2492,Netflix,movie,2025-12-04,Entertainment
Jun,Finance,12887,12360,-527,Apple Store,online shopping,2025-08-14,Shopping
Jun,HR,16327,19123,2796,Flipkart,movie subscription,2026-10-27,Entertainment
Sep,Operations,17142,15793,-1349,McDonald's,meal,2028-01-22,Food & Dining
Jun,Operations,16166,16638,472,Netflix,entertainment,2028-06-16,Entertainment
Aug,IT,14314,13307,-1007,Starbucks,drinks,2027-03-24,Food & Dining
Jul,Marketing,5607,5060,-547,Netflix,entertainment,2026-01-05,Entertainment
Jul,Marketing,19650,20678,1028,Apple Store,app purchase,2024-11-15,Digital Services
Mar,HR,15056,13265,-1791,Starbucks,food,2023-07-06,Food & Dining
Feb,Marketing,19018,17905,-1113,Apple Store,app purchase,2024-02-06,Digital Services
Jul,Operations,7887,6532,-1355,Flipkart,online shopping,2027-12-13,Shopping
Jan,Sales,15314,14222,-1092,Flipkart,online_shopping,2029-06-11,Shopping
Oct,IT,11925,12278,353,Apple Store,app purchase,2027-01-22,Digital Services
Jan,Operations,15042,17759,2717,Amazon,online_shopping,2029-07-08,Shopping
Sep,HR,12411,10092,-2319,Shell,fuel purchase,2029-06-24,Fuel
Mar,Operations,8773,7203,-1570,Amazon,movie subscription,2028-05-07,Entertainment
Mar,IT,7369,8378,1009,Uber,ride,2025-09-02,Transportation
Nov,IT,13955,13842,-113,Shell,fuel purchase,2029-07-27,Fuel
Jul,IT,18322,17190,-1132,Starbucks,food,2027-11-02,Food & Dining
Aug,HR,9707,11308,1601,Amazon,online_shopping,2024-09-16,Shopping
Jan,Finance,16669,18464,1795,Shell,fuel purchase,2029-10-03,Fuel
Aug,Operations,17916,20191,2275,Netflix,monthly subscription,2027-01-05,Subscription
Jun,HR,11031,9606,-1425,Uber,travel,2023-05-29,Transportation
Jan,HR,12138,11477,-661,McDonald's,coffee purchase,2023-05-21,Food & Dining
Jan,IT,8706,9835,1129,Starbucks,drinks,2025-05-06,Food & Dining
Jan,Marketing,19879,22840,2961,Amazon,online_shopping,2026-09-06,Shopping
Nov,Finance,9848,8589,-1259,Shell,petrol,2025-12-31,Fuel
Nov,Operations,17899,20344,2445,Apple Store,online shopping,2024-12-11,Shopping
Jun,HR,14811,16226,1415,Shell,petrol,2026-03-25,Fuel
Dec,HR,17908,19406,1498,Shell,fuel purchase,2029-01-11,Fuel
May,IT,10035,11020,985,McDonald's,coffee purchase,2023-07-04,Food & Dining
Sep,Operations,7449,9540,2091,Apple Store,app purchase,2029-09-08,Digital Services
Dec,IT,10162,7781,-2381,Amazon,online_shopping,2028-01-06,Shopping
Feb,Finance,18748,19271,523,Shell,petrol,2028-08-22,Fuel
Nov,Finance,13712,15749,2037,Apple Store,app purchase,2028-12-24,Digital Services
Nov,Operations,9862,10169,307,Shell,diesel,2027-01-14,Fuel
Sep,Finance,7238,10094,2856,McDonald's,meal,2026-12-06,Food & Dining
Mar,Marketing,18668,16541,-2127,Flipkart,online_shopping,2026-11-05,Shopping
Mar,Finance,11270,9820,-1450,Starbucks,coffee,2025-12-31,Food & Dining
Jun,HR,17717,16242,-1475,Shell,diesel,2025-03-30,Fuel
Aug,Operations,9273,9825,552,Starbucks,food,2026-09-28,Food & Dining
Mar,Operations,18125,16349,-1776,Starbucks,drinks,2027-07-10,Food & Dining
Jan,HR,14428,12127,-2301,Apple Store,app purchase,2026-10-23,Digital Services
Feb,Operations,19557,20091,534,Shell,petrol,2028-08-05,Fuel
Nov,Marketing,15115,15042,-73,Apple Store,online shopping,2027-09-20,Shopping
Oct,Marketing,17093,16176,-917,Shell,petrol,2023-12-18,Fuel
Apr,HR,17997,15762,-2235,Uber,ride,2028-04-08,Transportation
Nov,Operations,7589,7313,-276,Starbucks,coffee,2028-12-16,Food & Dining
Sep,Finance,10861,10630,-231,Uber,travel,2027-10-15,Transportation
Sep,Marketing,14027,12003,-2024,Amazon,movie subscription,2028-01-22,Entertainment
Nov,HR,15422,13360,-2062,McDonald's,coffee purchase,2029-07-21,Food & Dining
Dec,IT,10875,8319,-2556,Flipkart,online_shopping,2025-06-22,Shopping
Oct,Sales,10412,9942,-470,McDonald's,drinks,2028-04-15,Food & Dining
Dec,IT,17746,18578,832,Amazon,online shopping,2028-02-12,Shopping
Sep,IT,14565,13898,-667,Starbucks,food,2024-06-21,Food & Dining
Nov,HR,7486,5822,-1664,Uber,ride to work,2025-03-14,Transportation
Sep,HR,9443,12270,2827,Apple Store,online shopping,2024-07-23,Shopping
Apr,Marketing,12889,12986,97,Amazon,online shopping,2025-06-24,Shopping
May,Finance,10867,9488,-1379,McDonald's,coffee purchase,2024-05-12,Food & Dining
Oct,IT,5531,5721,190,Amazon,movie subscription,2029-08-25,Entertainment
Aug,Sales,14955,14426,-529,Apple Store,app purchase,2024-10-09,Digital Services
May,HR,9186,11488,2302,Flipkart,movie subscription,2027-02-18,Entertainment
Mar,HR,16040,17378,1338,Amazon,movie subscription,2029-05-20,Entertainment
Jan,IT,17866,15811,-2055,Starbucks,food,2023-12-17,Food & Dining
Jun,HR,16382,18484,2102,Starbucks,drinks,2027-05-25,Food & Dining
Nov,HR,15322,12337,-2985,Netflix,movie subscription,2025-12-04,Entertainment
Aug,HR,12295,10806,-1489,McDonald's,food,2028-07-08,Food & Dining
Apr,Operations,17653,15003,-2650,Shell,diesel,2028-06-18,Fuel
Apr,Finance,5516,4278,-1238,Amazon,movie subscription,2028-09-10,Entertainment
Mar,HR,5476,5148,-328,McDonald's,food,2023-05-31,Food & Dining
Sep,Sales,7727,5699,-2028,Netflix,movie,2029-10-10,Entertainment
Feb,Marketing,15818,16124,306,Netflix,monthly subscription,2025-07-22,Subscription
May,Operations,12761,14954,2193,Flipkart,online_shopping,2026-11-15,Shopping
Jan,Operations,7201,5010,-2191,Amazon,online shopping,2029-10-25,Shopping
Jan,Finance,6776,6323,-453,Shell,diesel,2029-07-27,Fuel
Feb,Operations,10107,8183,-1924,Netflix,entertainment,2028-12-22,Entertainment
Jul,Marketing,11942,14224,2282,Apple Store,online shopping,2025-03-28,Shopping
Apr,Finance,15456,15804,348,Netflix,movie subscription,2026-09-09,Entertainment
Oct,Sales,15934,14218,-1716,Starbucks,coffee,2024-12-07,Food & Dining
Jan,Finance,5742,8471,2729,Apple Store,app purchase,2025-04-14,Digital Services
Aug,IT,18334,17803,-531,Flipkart,online_shopping,2023-06-17,Shopping
Oct,Finance,15830,12948,-2882,Apple Store,online shopping,2023-07-08,Shopping
Dec,HR,15537,16332,795,Starbucks,food,2023-08-19,Food & Dining
Aug,Finance,15375,17377,2002,Flipkart,online_shopping,2026-10-27,Shopping
Sep,Marketing,10150,9821,-329,Amazon,online shopping,2023-10-08,Shopping
Apr,Sales,8263,10775,2512,Starbucks,food,2024-01-31,Food & Dining
Sep,HR,12944,10158,-2786,Netflix,entertainment,2026-07-07,Entertainment
Dec,Sales,7477,4739,-2738,Flipkart,movie subscription,2028-10-29,Entertainment
Sep,Sales,18915,16930,-1985,McDonald's,food,2026-12-05,Food & Dining
Dec,IT,16715,18838,2123,Uber,travel,2026-03-17,Transportation
Jan,Sales,11995,11612,-383,Uber,ride,2027-06-14,Transportation
Feb,HR,7661,8794,1133,Netflix,movie,2024-04-22,Entertainment
Nov,Finance,11055,11529,474,Netflix,monthly subscription,2023-07-02,Subscription
Aug,Sales,9038,9127,89,Netflix,movie subscription,2027-09-06,Entertainment
Jan,HR,8454,10025,1571,Amazon,online_shopping,2028-08-06,Shopping
Apr,Sales,9328,11113,1785,Netflix,movie,2026-03-10,Entertainment
Apr,Marketing,14824,13719,-1105,McDonald's,coffee purchase,2029-02-01,Food & Dining
May,Operations,9019,6066,-2953,Shell,diesel,2029-10-21,Fuel
Oct,Operations,9055,11446,2391,McDonald's,food,2024-01-16,Food & Dining
Oct,Operations,8058,10653,2595,Shell,diesel,2025-04-06,Fuel
Jul,HR,9022,7473,-1549,Starbucks,coffee,2024-03-30,Food & Dining
Aug,Sales,5005,3540,-1465,Starbucks,food,2026-12-09,Food & Dining
May,IT,19638,18799,-839,McDonald's,drinks,2026-02-09,Food & Dining
Aug,Marketing,18221,16636,-1585,Netflix,entertainment,2028-05-06,Entertainment
Nov,Marketing,13120,12626,-494,Flipkart,online_shopping,2028-01-23,Shopping
Jul,Operations,13348,12775,-573,McDonald's,meal,2029-06-29,Food & Dining
Mar,IT,6486,9324,2838,McDonald's,meal,2029-02-01,Food & Dining
Mar,Finance,9175,7634,-1541,McDonald's,coffee purchase,2025-09-30,Food & Dining
Feb,Marketing,13998,13288,-710,McDonald's,drinks,2025-01-04,Food & Dining
May,IT,17583,14620,-2963,McDonald's,meal,2027-04-09,Food & Dining
Apr,Finance,12120,11021,-1099,Uber,ride to work,2025-09-01,Transportation
Feb,HR,14634,13026,-1608,Apple Store,online shopping,2023-01-22,Shopping
Oct,Marketing,15139,17260,2121,Uber,ride to work,2025-03-16,Transportation
Apr,Marketing,14991,15333,342,Amazon,movie subscription,2024-01-12,Entertainment
Jul,HR,14347,13716,-631,Shell,petrol,2028-11-08,Fuel
Dec,Sales,5361,5637,276,Netflix,movie subscription,2026-12-31,Entertainment
Feb,Marketing,5074,2686,-2388,Netflix,movie,2028-04-03,Entertainment
Mar,HR,9395,11400,2005,Starbucks,drinks,2026-08-23,Food & Dining
Sep,Finance,8147,6165,-1982,McDonald's,meal,2027-06-23,Food & Dining
Dec,Finance,12529,14558,2029,Amazon,online_shopping,2024-05-15,Shopping
Sep,IT,7778,8684,906,Netflix,movie,2028-08-15,Entertainment
Jun,HR,17572,19268,1696,Starbucks,drinks,2029-05-02,Food & Dining
Dec,Marketing,15746,16050,304,Amazon,movie subscription,2029-02-11,Entertainment
Feb,Sales,6743,5875,-868,Apple Store,app purchase,2027-11-23,Digital Services
Oct,IT,12942,13298,356,McDonald's,drinks,2026-12-13,Food & Dining
May,IT,16035,13163,-2872,Uber,ride to work,2024-04-17,Transportation
Sep,Marketing,11252,8893,-2359,Shell,petrol,2024-01-06,Fuel
Feb,Marketing,12112,10933,-1179,Flipkart,online shopping,2025-02-10,Shopping
Nov,IT,10840,13536,2696,McDonald's,meal,2023-09-10,Food & Dining
Apr,HR,17749,18089,340,Starbucks,drinks,2026-08-26,Food & Dining
Aug,HR,5274,7096,1822,Shell,fuel purchase,2029-06-19,Fuel
May,Finance,9242,10931,1689,Netflix,movie subscription,2023-04-09,Entertainment
Feb,Sales,14046,13742,-304,Starbucks,food,2023-11-15,Food & Dining
Jun,IT,11122,13441,2319,Starbucks,drinks,2025-05-21,Food & Dining
May,IT,15774,18675,2901,Apple Store,online shopping,2023-06-23,Shopping
Aug,HR,15825,15126,-699,Flipkart,online_shopping,2028-12-16,Shopping
Sep,Operations,17176,15293,-1883,Flipkart,online_shopping,2029-05-10,Shopping
Jun,Finance,13752,13744,-8,Uber,ride,2027-07-04,Transportation
Apr,Finance,15603,14567,-1036,Starbucks,coffee,2024-05-19,Food & Dining
Nov,Finance,12475,11252,-1223,Shell,fuel purchase,2024-02-13,Fuel
Mar,HR,15309,14481,-828,Shell,diesel,2029-10-13,Fuel
Mar,Marketing,14370,11628,-2742,Uber,ride,2024-08-05,Transportation
Sep,Finance,11156,8922,-2234,Amazon,online_shopping,2029-04-18,Shopping
Jun,IT,9973,12184,2211,Apple Store,app purchase,2028-04-14,Digital Services
Aug,Sales,19626,19399,-227,Flipkart,online shopping,2023-03-10,Shopping
Jul,Sales,16399,14811,-1588,Starbucks,food,2029-01-03,Food & Dining
Feb,Marketing,9679,10137,458,Shell,diesel,2029-06-18,Fuel
Dec,Marketing,12769,15484,2715,Amazon,online_shopping,2023-11-04,Shopping
Mar,Finance,14935,15488,553,Shell,diesel,2029-06-28,Fuel
Sep,IT,5224,6599,1375,Amazon,online shopping,2023-03-05,Shopping
Jun,Operations,14543,13955,-588,Netflix,movie subscription,2028-12-08,Entertainment
Nov,Finance,9713,10826,1113,Shell,petrol,2028-11-05,Fuel
Oct,Marketing,8350,8473,123,Netflix,movie subscription,2024-06-05,Entertainment
Apr,HR,9815,11741,1926,McDonald's,drinks,2023-05-04,Food & Dining
Dec,IT,6298,7786,1488,Netflix,monthly subscription,2026-01-01,Subscription
Jun,Operations,6385,4151,-2234,McDonald's,drinks,2024-05-11,Food & Dining
Sep,HR,14267,14987,720,Flipkart,online shopping,2028-04-11,Shopping
Sep,Finance,15913,18020,2107,Apple Store,online shopping,2027-01-15,Shopping
Jun,Sales,12888,14443,1555,McDonald's,drinks,2023-11-08,Food & Dining
Jun,Marketing,11181,14089,2908,Shell,petrol,2029-08-20,Fuel
Jul,Marketing,9096,6500,-2596,Flipkart,online shopping,2026-06-20,Shopping
Dec,HR,7444,5696,-1748,McDonald's,drinks,2026-12-16,Food & Dining
Dec,HR,10231,9371,-860,Starbucks,coffee,2026-07-15,Food & Dining
Dec,Finance,18941,20650,1709,Apple Store,app purchase,2024-02-12,Digital Services
May,HR,17628,19269,1641,Uber,travel,2024-06-08,Transportation
Oct,Finance,9398,6568,-2830,McDonald's,food,2029-06-09,Food & Dining
Jun,Operations,10459,8020,-2439,Apple Store,online shopping,2028-01-26,Shopping
Sep,Sales,5072,7226,2154,Flipkart,online_shopping,2025-06-14,Shopping
Feb,HR,16986,16008,-978,Uber,ride to work,2029-10-24,Transportation
Jan,Finance,9677,7749,-1928,Shell,diesel,2025-11-03,Fuel
Feb,IT,16878,18642,1764,McDonald's,drinks,2024-06-09,Food & Dining
Mar,Finance,9405,10511,1106,Shell,fuel purchase,2023-08-15,Fuel
Mar,Sales,14844,16039,1195,McDonald's,coffee purchase,2026-06-21,Food & Dining
Aug,Marketing,10582,13521,2939,McDonald's,meal,2026-04-09,Food & Dining
Nov,Sales,13256,13962,706,McDonald's,meal,2026-06-25,Food & Dining
Mar,Sales,19949,18487,-1462,Amazon,movie subscription,2029-06-20,Entertainment
Dec,Sales,10421,11308,887,Netflix,entertainment,2023-02-10,Entertainment
May,IT,8395,7773,-622,Flipkart,movie subscription,2025-08-08,Entertainment
Aug,Operations,5053,6604,1551,McDonald's,food,2025-11-16,Food & Dining
Nov,Marketing,5412,8026,2614,McDonald's,meal,2029-07-31,Food & Dining
Nov,Finance,12185,11332,-853,Amazon,online_shopping,2023-09-08,Shopping
Jun,Finance,9561,7678,-1883,Netflix,monthly subscription,2025-06-19,Subscription
Jul,Sales,13799,15027,1228,Flipkart,movie subscription,2025-02-13,Entertainment
Nov,IT,14393,12925,-1468,Flipkart,online_shopping,2023-06-13,Shopping
Mar,Marketing,6256,3377,-2879,Amazon,online_shopping,2029-06-22,Shopping
Jul,Operations,16619,16638,19,Flipkart,online shopping,2027-06-19,Shopping
Aug,HR,15022,17204,2182,Starbucks,food,2024-07-27,Food & Dining
Jul,IT,13331,12703,-628,Flipkart,movie subscription,2027-10-20,Entertainment
Jun,HR,10840,11431,591,Shell,petrol,2027-06-15,Fuel
Oct,Sales,6294,7876,1582,Apple Store,online shopping,2028-07-18,Shopping
Dec,Sales,6232,5361,-871,Starbucks,food,2028-12-29,Food & Dining
Apr,IT,5122,4642,-480,Netflix,movie,2023-02-09,Entertainment
Aug,IT,10045,10339,294,Amazon,online shopping,2029-08-07,Shopping
Mar,Marketing,8938,8757,-181,McDonald's,food,2027-12-30,Food & Dining
May,Finance,15593,18555,2962,Uber,ride to work,2029-02-21,Transportation
Apr,Marketing,12033,9288,-2745,McDonald's,food,2023-04-24,Food & Dining
Apr,Operations,8933,8373,-560,Netflix,entertainment,2028-10-19,Entertainment
Aug,IT,18227,15953,-2274,Apple Store,online shopping,2024-03-19,Shopping
Jan,Marketing,8274,8021,-253,Apple Store,app purchase,2023-01-24,Digital Services
Apr,HR,10387,12036,1649,McDonald's,meal,2026-07-20,Food & Dining
Apr,Operations,15711,17484,1773,Netflix,movie,2023-12-17,Entertainment
Aug,Sales,18498,20869,2371,Flipkart,online_shopping,2026-03-20,Shopping
Jul,Finance,13085,11187,-1898,Uber,ride to work,2023-04-08,Transportation
Apr,Sales,17452,17548,96,Apple Store,app purchase,2027-01-30,Digital Services
Nov,Marketing,7867,7569,-298,Uber,ride,2024-06-08,Transportation
Jan,Marketing,10002,9911,-91,Shell,fuel purchase,2028-01-24,Fuel
Jan,Marketing,10095,10333,238,Shell,diesel,2025-01-02,Fuel
Apr,IT,12084,13864,1780,Apple Store,app purchase,2027-03-24,Digital Services
Jul,Sales,18465,17356,-1109,Flipkart,online shopping,2028-08-20,Shopping
Jun,Operations,14365,11637,-2728,Apple Store,app purchase,2025-11-14,Digital Services
Jul,Marketing,5297,5459,162,Uber,travel,2024-03-12,Transportation
