Department,Budgeted Amount,Actual Spending,Variance,Merchant,Description,Date,Category
Sales,19748,18197,-1551,Starbucks,food,30 December 2028,Food & Dining
Operations,8397,8257,-140,McDonald's,drinks,31 December 2028,Food & Dining
Finance,8577,9476,899,Amazon,online shopping,01 January 2029,Shopping
Operations,14594,16313,1719,Amazon,online shopping,02 January 2029,Shopping
HR,7173,9386,2213,McDonald's,meal,03 January 2029,Food & Dining
Marketing,17460,17802,342,Amazon,online_shopping,04 January 2029,Shopping
Marketing,5253,5260,7,McDonald's,food,05 January 2029,Food & Dining
HR,12082,11175,-907,McDonald's,coffee purchase,06 January 2029,Food & Dining
HR,16755,16072,-683,McDonald's,drinks,07 January 2029,Food & Dining
Finance,5991,6244,253,Amazon,online_shopping,08 January 2029,Shopping
Operations,13478,14492,1014,Netflix,monthly subscription,09 January 2029,Subscription
Sales,11448,10591,-857,Starbucks,coffee,10 January 2029,Food & Dining
Finance,7558,5666,-1892,Flipkart,movie subscription,11 January 2029,Entertainment
HR,13394,13932,538,McDonald's,meal,12 January 2029,Food & Dining
HR,10159,7328,-2831,Shell,diesel,13 January 2029,Fuel
Operations,9666,9863,197,McDonald's,meal,14 January 2029,Food & Dining
Marketing,7678,7597,-81,Netflix,movie,15 January 2029,Entertainment
HR,17401,16556,-845,Uber,ride,16 January 2029,Transportation
Finance,6688,8997,2309,Apple Store,online shopping,17 January 2029,Shopping
Marketing,6903,8801,1898,Shell,petrol,18 January 2029,Fuel
Operations,9768,8808,-960,McDonald's,food,19 January 2029,Food & Dining
Sales,8139,9283,1144,Amazon,online shopping,20 January 2029,Shopping
Marketing,8346,6997,-1349,Shell,fuel purchase,21 January 2029,Fuel
Operations,10427,8093,-2334,Apple Store,online shopping,22 January 2029,Shopping
HR,17624,16693,-931,Flipkart,online_shopping,23 January 2029,Shopping
IT,15677,18530,2853,Amazon,online_shopping,24 January 2029,Shopping
Marketing,8865,8947,82,Apple Store,online shopping,25 January 2029,Shopping
HR,9236,11995,2759,Flipkart,online_shopping,26 January 2029,Shopping
HR,13828,16671,2843,McDonald's,food,27 January 2029,Food & Dining
Finance,14498,13374,-1124,Shell,diesel,28 January 2029,Fuel
Operations,19949,19744,-205,Shell,petrol,29 January 2029,Fuel
HR,13176,14977,1801,Amazon,online_shopping,30 January 2029,Shopping
HR,16113,15945,-168,Shell,fuel purchase,31 January 2029,Fuel
Sales,13802,12143,-1659,Flipkart,movie subscription,01 February 2029,Entertainment
IT,15421,15410,-11,Uber,travel,02 February 2029,Transportation
HR,15961,16850,889,Apple Store,app purchase,03 February 2029,Digital Services
Marketing,19236,21459,2223,McDonald's,coffee purchase,04 February 2029,Food & Dining
Sales,11867,12943,1076,Flipkart,online shopping,05 February 2029,Shopping
Sales,6793,9307,2514,Apple Store,app purchase,06 February 2029,Digital Services
Operations,15346,18111,2765,Shell,petrol,07 February 2029,Fuel
IT,18964,21784,2820,Starbucks,drinks,08 February 2029,Food & Dining
IT,5495,3192,-2303,Amazon,online_shopping,09 February 2029,Shopping
IT,6375,6435,60,Apple Store,online shopping,10 February 2029,Shopping
IT,15507,14732,-775,Shell,diesel,11 February 2029,Fuel
Sales,15269,13843,-1426,Starbucks,food,12 February 2029,Food & Dining
Sales,12378,12242,-136,Uber,ride,13 February 2029,Transportation
Sales,8875,8385,-490,Uber,ride to work,14 February 2029,Transportation
IT,6301,8194,1893,McDonald's,drinks,15 February 2029,Food & Dining
Finance,19631,20123,492,Netflix,entertainment,16 February 2029,Entertainment
Sales,5054,6302,1248,Shell,diesel,17 February 2029,Fuel
HR,9788,9939,151,Uber,travel,18 February 2029,Transportation
Finance,10212,7798,-2414,Netflix,movie subscription,19 February 2029,Entertainment
Marketing,12908,13875,967,Starbucks,coffee,20 February 2029,Food & Dining
HR,9490,11437,1947,Flipkart,online shopping,21 February 2029,Shopping
Operations,11469,8807,-2662,Uber,travel,22 February 2029,Transportation
IT,10168,7503,-2665,Flipkart,movie subscription,23 February 2029,Entertainment
Operations,6921,6109,-812,Netflix,entertainment,24 February 2029,Entertainment
Finance,14350,11438,-2912,Shell,diesel,25 February 2029,Fuel
HR,6496,4346,-2150,McDonald's,food,26 February 2029,Food & Dining
Sales,17426,18285,859,Starbucks,coffee,27 February 2029,Food & Dining
IT,13484,15242,1758,McDonald's,food,28 February 2029,Food & Dining
IT,6733,8572,1839,Starbucks,food,01 March 2029,Food & Dining
Operations,19051,19590,539,Shell,petrol,02 March 2029,Fuel
IT,16911,19442,2531,Amazon,online shopping,03 March 2029,Shopping
Finance,13960,14694,734,Shell,diesel,04 March 2029,Fuel
Finance,8841,6447,-2394,Amazon,online shopping,05 March 2029,Shopping
Finance,10355,10961,606,McDonald's,drinks,06 March 2029,Food & Dining
Operations,18034,20174,2140,Shell,fuel purchase,07 March 2029,Fuel
HR,15119,13977,-1142,Apple Store,app purchase,08 March 2029,Digital Services
Operations,15273,16492,1219,Starbucks,coffee,09 March 2029,Food & Dining
Marketing,6995,4560,-2435,Apple Store,online shopping,10 March 2029,Shopping
HR,6519,6536,17,Shell,petrol,11 March 2029,Fuel
HR,11119,8297,-2822,Netflix,monthly subscription,12 March 2029,Subscription
Finance,9431,9690,259,McDonald's,drinks,13 March 2029,Food & Dining
Marketing,13815,14630,815,Flipkart,online shopping,14 March 2029,Shopping
Operations,10067,10031,-36,Starbucks,food,15 March 2029,Food & Dining
Finance,11844,13605,1761,Netflix,movie,16 March 2029,Entertainment
Finance,5127,2316,-2811,Amazon,online_shopping,17 March 2029,Shopping
Sales,12673,15309,2636,Starbucks,food,18 March 2029,Food & Dining
Finance,9758,12036,2278,McDonald's,food,19 March 2029,Food & Dining
Sales,6731,6477,-254,Uber,ride to work,20 March 2029,Transportation
IT,19807,22293,2486,Amazon,online shopping,21 March 2029,Shopping
Operations,17778,17856,78,Apple Store,app purchase,22 March 2029,Digital Services
Marketing,16814,14033,-2781,Shell,petrol,23 March 2029,Fuel
IT,10618,13451,2833,Shell,petrol,24 March 2029,Fuel
Finance,12026,10423,-1603,Starbucks,food,25 March 2029,Food & Dining
Operations,9542,9346,-196,Amazon,online_shopping,26 March 2029,Shopping
Marketing,8845,7409,-1436,Apple Store,online shopping,27 March 2029,Shopping
IT,14997,13716,-1281,Netflix,entertainment,28 March 2029,Entertainment
Sales,13286,14216,930,Uber,ride,29 March 2029,Transportation
Sales,18971,16351,-2620,Starbucks,food,30 March 2029,Food & Dining
Finance,11277,10020,-1257,Starbucks,coffee,31 March 2029,Food & Dining
IT,15694,15078,-616,Shell,diesel,01 April 2029,Fuel
Operations,5089,5070,-19,Amazon,movie subscription,02 April 2029,Entertainment
HR,8862,10782,1920,McDonald's,drinks,03 April 2029,Food & Dining
HR,7422,4692,-2730,Apple Store,online shopping,04 April 2029,Shopping
Operations,8187,6603,-1584,Netflix,entertainment,05 April 2029,Entertainment
HR,14549,12911,-1638,Apple Store,app purchase,06 April 2029,Digital Services
IT,11038,8693,-2345,Netflix,movie subscription,07 April 2029,Entertainment
Marketing,16557,15031,-1526,Shell,diesel,08 April 2029,Fuel
Marketing,19779,17258,-2521,Flipkart,online shopping,09 April 2029,Shopping
HR,18037,19407,1370,Uber,ride,10 April 2029,Transportation
Finance,15596,16764,1168,Flipkart,online_shopping,11 April 2029,Shopping
Operations,15175,16504,1329,Amazon,movie subscription,12 April 2029,Entertainment
Sales,10341,9712,-629,Apple Store,app purchase,13 April 2029,Digital Services
Finance,6885,9438,2553,Apple Store,app purchase,14 April 2029,Digital Services
HR,15296,14150,-1146,Starbucks,food,15 April 2029,Food & Dining
Marketing,19766,22014,2248,Starbucks,coffee,16 April 2029,Food & Dining
Operations,10630,7862,-2768,Shell,petrol,17 April 2029,Fuel
HR,9936,10701,765,Amazon,online_shopping,18 April 2029,Shopping
Operations,14607,14231,-376,Netflix,movie,19 April 2029,Entertainment
IT,13409,16294,2885,Netflix,monthly subscription,20 April 2029,Subscription
Marketing,6531,4013,-2518,Shell,diesel,21 April 2029,Fuel
Operations,14837,17802,2965,Uber,ride to work,22 April 2029,Transportation
Finance,13751,16499,2748,McDonald's,drinks,23 April 2029,Food & Dining
Finance,12772,13013,241,Uber,ride,24 April 2029,Transportation
HR,15040,12106,-2934,Starbucks,food,25 April 2029,Food & Dining
Sales,14520,17012,2492,Netflix,movie,26 April 2029,Entertainment
HR,18764,15826,-2938,Starbucks,coffee,27 April 2029,Food & Dining
Finance,18547,20595,2048,Starbucks,drinks,28 April 2029,Food & Dining
Finance,16822,17581,759,Starbucks,coffee,29 April 2029,Food & Dining
Operations,9168,10618,1450,Starbucks,drinks,30 April 2029,Food & Dining
Sales,7862,5927,-1935,Starbucks,drinks,01 May 2029,Food & Dining
HR,8585,8262,-323,Uber,ride to work,02 May 2029,Transportation
Operations,7371,5990,-1381,Apple Store,online shopping,03 May 2029,Shopping
HR,18370,21198,2828,Apple Store,app purchase,04 May 2029,Digital Services
Finance,16368,18380,2012,Amazon,online_shopping,05 May 2029,Shopping
Marketing,16108,15910,-198,Amazon,movie subscription,06 May 2029,Entertainment
Marketing,15583,14507,-1076,Uber,travel,07 May 2029,Transportation
Operations,11468,11302,-166,Uber,ride,08 May 2029,Transportation
Finance,11893,10201,-1692,Netflix,movie subscription,09 May 2029,Entertainment
Finance,9332,8478,-854,McDonald's,coffee purchase,10 May 2029,Food & Dining
IT,13203,14785,1582,Shell,fuel purchase,11 May 2029,Fuel
IT,11158,9202,-1956,McDonald's,food,12 May 2029,Food & Dining
HR,18079,15136,-2943,Shell,petrol,13 May 2029,Fuel
Operations,13762,15129,1367,Amazon,online_shopping,14 May 2029,Shopping
Finance,10697,12567,1870,Uber,ride,15 May 2029,Transportation
Operations,18918,20884,1966,McDonald's,drinks,16 May 2029,Food & Dining
Operations,11899,14750,2851,Apple Store,app purchase,17 May 2029,Digital Services
Marketing,7853,5310,-2543,Uber,travel,18 May 2029,Transportation
Marketing,15190,17601,2411,Amazon,online shopping,19 May 2029,Shopping
Sales,12390,14736,2346,Starbucks,coffee,20 May 2029,Food & Dining
Finance,10603,9854,-749,Apple Store,app purchase,21 May 2029,Digital Services
IT,7601,9347,1746,Uber,travel,22 May 2029,Transportation
Operations,9712,10044,332,Netflix,movie,23 May 2029,Entertainment
Operations,18155,16729,-1426,Netflix,movie,24 May 2029,Entertainment
Finance,8547,8968,421,Netflix,movie subscription,25 May 2029,Entertainment
Finance,9725,7542,-2183,Uber,ride,26 May 2029,Transportation
Operations,18724,19445,721,McDonald's,drinks,27 May 2029,Food & Dining
Sales,19733,21763,2030,Shell,fuel purchase,28 May 2029,Fuel
Marketing,9715,7712,-2003,Shell,diesel,29 May 2029,Fuel
Finance,9261,6482,-2779,Uber,ride,30 May 2029,Transportation
IT,12394,15267,2873,Shell,petrol,31 May 2029,Fuel
Marketing,13113,15015,1902,Flipkart,online shopping,01 June 2029,Shopping
HR,7346,7379,33,McDonald's,meal,02 June 2029,Food & Dining
Sales,6708,8604,1896,Apple Store,app purchase,03 June 2029,Digital Services
HR,18535,16396,-2139,Starbucks,food,04 June 2029,Food & Dining
IT,18081,19577,1496,Shell,petrol,05 June 2029,Fuel
Marketing,17528,20128,2600,Starbucks,drinks,06 June 2029,Food & Dining
HR,7375,8213,838,McDonald's,drinks,07 June 2029,Food & Dining
HR,14359,17095,2736,Amazon,online shopping,08 June 2029,Shopping
Operations,17426,18700,1274,Shell,petrol,09 June 2029,Fuel
Marketing,7941,7833,-108,McDonald's,coffee purchase,10 June 2029,Food & Dining
IT,12833,14305,1472,Flipkart,movie subscription,11 June 2029,Entertainment
HR,8432,11139,2707,Netflix,monthly subscription,12 June 2029,Subscription
Finance,5210,4518,-692,Shell,fuel purchase,13 June 2029,Fuel
IT,17317,15803,-1514,McDonald's,food,14 June 2029,Food & Dining
Finance,14658,14288,-370,Starbucks,coffee,15 June 2029,Food & Dining
Sales,18067,18167,100,Flipkart,online_shopping,16 June 2029,Shopping
Operations,6984,6128,-856,Apple Store,app purchase,17 June 2029,Digital Services
Marketing,9180,6661,-2519,Uber,ride,18 June 2029,Transportation
Marketing,9318,7943,-1375,Uber,ride,19 June 2029,Transportation
IT,10680,8154,-2526,Netflix,entertainment,20 June 2029,Entertainment
IT,11933,12259,326,Amazon,movie subscription,21 June 2029,Entertainment
Marketing,14090,11269,-2821,Apple Store,app purchase,22 June 2029,Digital Services
Marketing,15778,13283,-2495,Starbucks,food,23 June 2029,Food & Dining
Operations,10864,12624,1760,McDonald's,coffee purchase,24 June 2029,Food & Dining
IT,6963,8070,1107,Uber,ride,25 June 2029,Transportation
Marketing,10346,12218,1872,Flipkart,online_shopping,26 June 2029,Shopping
Finance,19313,18796,-517,Flipkart,online shopping,27 June 2029,Shopping
Marketing,11383,11116,-267,Shell,diesel,28 June 2029,Fuel
HR,8560,9814,1254,Netflix,movie subscription,29 June 2029,Entertainment
Marketing,17948,18057,109,McDonald's,meal,30 June 2029,Food & Dining
Operations,17984,15851,-2133,Uber,ride,01 July 2029,Transportation
Operations,17635,19860,2225,Shell,fuel purchase,02 July 2029,Fuel
Finance,15388,14403,-985,Apple Store,online shopping,03 July 2029,Shopping
HR,14848,16350,1502,Uber,ride to work,04 July 2029,Transportation
HR,9557,7247,-2310,Uber,ride,05 July 2029,Transportation
IT,16747,18179,1432,Netflix,entertainment,06 July 2029,Entertainment
Finance,12933,11683,-1250,Shell,petrol,07 July 2029,Fuel
Finance,16804,17867,1063,Flipkart,movie subscription,08 July 2029,Entertainment
Sales,14926,13140,-1786,Flipkart,movie subscription,09 July 2029,Entertainment
Finance,9752,10299,547,McDonald's,meal,10 July 2029,Food & Dining
Finance,17277,14945,-2332,Amazon,online shopping,11 July 2029,Shopping
HR,8353,6483,-1870,Starbucks,food,12 July 2029,Food & Dining
Marketing,6783,5967,-816,Netflix,monthly subscription,13 July 2029,Subscription
Sales,13807,14412,605,Starbucks,drinks,14 July 2029,Food & Dining
Sales,10955,9770,-1185,Shell,fuel purchase,15 July 2029,Fuel
Sales,9278,7596,-1682,Apple Store,online shopping,16 July 2029,Shopping
Operations,10574,11816,1242,Flipkart,online_shopping,17 July 2029,Shopping
IT,17674,18787,1113,Amazon,online shopping,18 July 2029,Shopping
IT,6019,3267,-2752,Shell,diesel,19 July 2029,Fuel
Marketing,5206,7954,2748,Apple Store,online shopping,20 July 2029,Shopping
Operations,9111,7850,-1261,Netflix,movie,21 July 2029,Entertainment
IT,10070,10677,607,Apple Store,app purchase,22 July 2029,Digital Services
HR,11246,13303,2057,Netflix,movie,23 July 2029,Entertainment
Sales,14230,15675,1445,Starbucks,food,24 July 2029,Food & Dining
Sales,13646,14275,629,Netflix,movie subscription,25 July 2029,Entertainment
Operations,13001,11832,-1169,McDonald's,meal,26 July 2029,Food & Dining
Finance,15264,14352,-912,McDonald's,food,27 July 2029,Food & Dining
IT,9953,7183,-2770,Amazon,online_shopping,28 July 2029,Shopping
Sales,7855,7746,-109,Uber,ride,29 July 2029,Transportation
Sales,18005,15458,-2547,Flipkart,movie subscription,30 July 2029,Entertainment
Operations,15865,13834,-2031,Netflix,movie subscription,31 July 2029,Entertainment
Marketing,10015,8122,-1893,McDonald's,meal,01 August 2029,Food & Dining
Finance,5446,7414,1968,Flipkart,online_shopping,02 August 2029,Shopping
Operations,15017,14626,-391,Shell,diesel,03 August 2029,Fuel
HR,15472,17470,1998,Netflix,entertainment,04 August 2029,Entertainment
Marketing,14268,15503,1235,Flipkart,online_shopping,05 August 2029,Shopping
Operations,16767,15233,-1534,Starbucks,drinks,06 August 2029,Food & Dining
HR,13616,12930,-686,Flipkart,movie subscription,07 August 2029,Entertainment
Finance,6630,8410,1780,Uber,ride,08 August 2029,Transportation
Operations,7380,5339,-2041,Netflix,movie,09 August 2029,Entertainment
Operations,10483,9062,-1421,Netflix,monthly subscription,10 August 2029,Subscription
IT,10875,12970,2095,Amazon,online_shopping,11 August 2029,Shopping
HR,18135,18490,355,McDonald's,coffee purchase,12 August 2029,Food & Dining
HR,10498,8929,-1569,Netflix,movie subscription,13 August 2029,Entertainment
HR,7658,6117,-1541,Amazon,online_shopping,14 August 2029,Shopping
Sales,6443,7951,1508,Flipkart,movie subscription,15 August 2029,Entertainment
Operations,18803,19417,614,Netflix,monthly subscription,16 August 2029,Subscription
Marketing,14588,13709,-879,Shell,petrol,17 August 2029,Fuel
IT,13331,15403,2072,Starbucks,drinks,18 August 2029,Food & Dining
Operations,18054,19613,1559,Uber,ride to work,19 August 2029,Transportation
Marketing,17370,17174,-196,Shell,diesel,20 August 2029,Fuel
HR,6281,7347,1066,Shell,petrol,21 August 2029,Fuel
Finance,7974,6566,-1408,Starbucks,drinks,22 August 2029,Food & Dining
Finance,13942,12266,-1676,Shell,petrol,23 August 2029,Fuel
Sales,11110,10167,-943,Starbucks,coffee,24 August 2029,Food & Dining
IT,8296,6323,-1973,Apple Store,app purchase,25 August 2029,Digital Services
Marketing,14178,16947,2769,Starbucks,food,26 August 2029,Food & Dining
Sales,9214,7731,-1483,Netflix,entertainment,27 August 2029,Entertainment
Finance,9092,10187,1095,Netflix,movie subscription,28 August 2029,Entertainment
Finance,6444,3543,-2901,Starbucks,drinks,29 August 2029,Food & Dining
Marketing,18713,21688,2975,McDonald's,meal,30 August 2029,Food & Dining
Marketing,6278,7468,1190,Netflix,monthly subscription,31 August 2029,Subscription
Operations,19556,18699,-857,Flipkart,online_shopping,01 September 2029,Shopping
Operations,9939,9514,-425,Flipkart,movie subscription,02 September 2029,Entertainment
IT,5571,3063,-2508,Flipkart,online shopping,03 September 2029,Shopping
Finance,14812,15869,1057,Uber,ride to work,04 September 2029,Transportation
Marketing,16619,18876,2257,McDonald's,food,05 September 2029,Food & Dining
Finance,16038,15598,-440,Amazon,online shopping,06 September 2029,Shopping
HR,8809,7161,-1648,Apple Store,app purchase,07 September 2029,Digital Services
IT,13274,13644,370,Netflix,movie,08 September 2029,Entertainment
Finance,8117,8921,804,Flipkart,online_shopping,09 September 2029,Shopping
Finance,6566,8321,1755,Amazon,online shopping,10 September 2029,Shopping
HR,15755,18521,2766,Apple Store,online shopping,11 September 2029,Shopping
Operations,16630,16637,7,Amazon,movie subscription,12 September 2029,Entertainment
HR,5424,8197,2773,Starbucks,coffee,13 September 2029,Food & Dining
Finance,12324,14480,2156,Shell,petrol,14 September 2029,Fuel
Operations,14548,13644,-904,Flipkart,movie subscription,15 September 2029,Entertainment
Marketing,14808,14157,-651,Flipkart,online_shopping,16 September 2029,Shopping
Sales,12167,11364,-803,Amazon,movie subscription,17 September 2029,Entertainment
Finance,18024,19038,1014,Apple Store,online shopping,18 September 2029,Shopping
Operations,13457,14086,629,Amazon,movie subscription,19 September 2029,Entertainment
HR,18113,16984,-1129,Shell,fuel purchase,20 September 2029,Fuel
HR,14578,12337,-2241,Flipkart,online shopping,21 September 2029,Shopping
IT,9004,6420,-2584,Starbucks,coffee,22 September 2029,Food & Dining
Sales,18089,18795,706,Shell,fuel purchase,23 September 2029,Fuel
Marketing,5141,3710,-1431,Apple Store,online shopping,24 September 2029,Shopping
IT,8677,9194,517,Shell,petrol,25 September 2029,Fuel
Operations,5876,7934,2058,Starbucks,food,26 September 2029,Food & Dining
Finance,11206,10313,-893,Amazon,online shopping,27 September 2029,Shopping
Operations,6687,6526,-161,Flipkart,online_shopping,28 September 2029,Shopping
Finance,18442,16669,-1773,Apple Store,online shopping,29 September 2029,Shopping
Sales,8516,9460,944,Flipkart,movie subscription,30 September 2029,Entertainment
Operations,11939,9623,-2316,Netflix,entertainment,01 October 2029,Entertainment
IT,8394,8371,-23,McDonald's,food,02 October 2029,Food & Dining
Operations,10910,13744,2834,Apple Store,app purchase,03 October 2029,Digital Services
Operations,11059,12329,1270,Flipkart,online_shopping,04 October 2029,Shopping
IT,14238,13176,-1062,Netflix,movie,05 October 2029,Entertainment
Operations,14185,16063,1878,Uber,ride to work,06 October 2029,Transportation
Sales,19299,18507,-792,Starbucks,drinks,07 October 2029,Food & Dining
Marketing,9679,6774,-2905,Starbucks,food,08 October 2029,Food & Dining
Operations,11273,13148,1875,Shell,petrol,09 October 2029,Fuel
HR,14720,14054,-666,Amazon,online shopping,10 October 2029,Shopping
Marketing,10624,8393,-2231,Netflix,monthly subscription,11 October 2029,Subscription
IT,17687,19061,1374,Shell,fuel purchase,12 October 2029,Fuel
Finance,19790,18912,-878,Amazon,online shopping,13 October 2029,Shopping
Marketing,10991,9479,-1512,Flipkart,online_shopping,14 October 2029,Shopping
Marketing,16793,19111,2318,McDonald's,coffee purchase,15 October 2029,Food & Dining
Finance,17104,19370,2266,Apple Store,online shopping,16 October 2029,Shopping
IT,12436,12797,361,McDonald's,drinks,17 October 2029,Food & Dining
Finance,7441,8047,606,Apple Store,app purchase,18 October 2029,Digital Services
HR,16425,19133,2708,Amazon,online shopping,19 October 2029,Shopping
HR,18931,20459,1528,Uber,travel,20 October 2029,Transportation
Finance,19621,20204,583,McDonald's,food,21 October 2029,Food & Dining
Finance,7307,10217,2910,McDonald's,drinks,22 October 2029,Food & Dining
Sales,14015,16779,2764,Starbucks,coffee,23 October 2029,Food & Dining
Sales,18528,21033,2505,Uber,ride,24 October 2029,Transportation
IT,8473,6978,-1495,Starbucks,drinks,25 October 2029,Food & Dining
Sales,16871,15673,-1198,Shell,petrol,26 October 2029,Fuel
Finance,8728,6852,-1876,McDonald's,coffee purchase,27 October 2029,Food & Dining
Sales,9589,6598,-2991,Amazon,movie subscription,28 October 2029,Entertainment
IT,19977,18783,-1194,Flipkart,online_shopping,29 October 2029,Shopping
Sales,8951,6918,-2033,Netflix,movie subscription,30 October 2029,Entertainment
Marketing,7997,5296,-2701,Starbucks,food,31 October 2029,Food & Dining
Finance,18016,20684,2668,McDonald's,coffee purchase,01 November 2029,Food & Dining
IT,13622,12931,-691,Uber,travel,02 November 2029,Transportation
IT,15574,17003,1429,Flipkart,movie subscription,03 November 2029,Entertainment
IT,16922,18991,2069,McDonald's,food,04 November 2029,Food & Dining
IT,9290,11940,2650,McDonald's,drinks,05 November 2029,Food & Dining
Operations,6480,8067,1587,Netflix,entertainment,06 November 2029,Entertainment
Operations,14749,12005,-2744,Uber,ride,07 November 2029,Transportation
Marketing,16391,15765,-626,Amazon,online_shopping,08 November 2029,Shopping
HR,12465,11418,-1047,Shell,diesel,09 November 2029,Fuel
Marketing,13564,13160,-404,McDonald's,food,10 November 2029,Food & Dining
HR,8559,10094,1535,Uber,travel,11 November 2029,Transportation
Marketing,18019,20682,2663,Starbucks,coffee,12 November 2029,Food & Dining
Sales,5919,4509,-1410,Apple Store,app purchase,13 November 2029,Digital Services
HR,16053,14738,-1315,Starbucks,food,14 November 2029,Food & Dining
Sales,16219,16459,240,Flipkart,online_shopping,15 November 2029,Shopping
Finance,7122,4992,-2130,McDonald's,coffee purchase,16 November 2029,Food & Dining
IT,11195,13022,1827,Uber,ride,17 November 2029,Transportation
Marketing,19729,21543,1814,Uber,ride to work,18 November 2029,Transportation
HR,17951,19665,1714,Apple Store,online shopping,19 November 2029,Shopping
HR,13460,11468,-1992,Amazon,online shopping,20 November 2029,Shopping
HR,5761,6428,667,McDonald's,food,21 November 2029,Food & Dining
Sales,8175,9908,1733,Starbucks,drinks,22 November 2029,Food & Dining
Operations,11361,8574,-2787,Flipkart,online shopping,23 November 2029,Shopping
Sales,11052,13382,2330,Apple Store,online shopping,24 November 2029,Shopping
Operations,16760,18356,1596,Shell,diesel,25 November 2029,Fuel
Finance,10984,13065,2081,Flipkart,online_shopping,26 November 2029,Shopping
Sales,6235,4104,-2131,Netflix,monthly subscription,27 November 2029,Subscription
Sales,13000,14076,1076,Uber,ride to work,28 November 2029,Transportation
HR,14581,16402,1821,Apple Store,online shopping,29 November 2029,Shopping
Operations,10330,8174,-2156,Starbucks,food,30 November 2029,Food & Dining
IT,18242,16584,-1658,Flipkart,online shopping,01 December 2029,Shopping
IT,14458,12701,-1757,Flipkart,online_shopping,02 December 2029,Shopping
Marketing,7350,5681,-1669,Amazon,movie subscription,03 December 2029,Entertainment
Finance,7301,5043,-2258,Shell,petrol,04 December 2029,Fuel
Operations,8439,9661,1222,Amazon,online_shopping,05 December 2029,Shopping
Sales,19546,22482,2936,Netflix,monthly subscription,06 December 2029,Subscription
Sales,9972,7615,-2357,Apple Store,app purchase,07 December 2029,Digital Services
HR,17064,18957,1893,Apple Store,online shopping,08 December 2029,Shopping
HR,19172,17119,-2053,Apple Store,online shopping,09 December 2029,Shopping
IT,8998,6754,-2244,Starbucks,food,10 December 2029,Food & Dining
Sales,19231,20108,877,Shell,fuel purchase,11 December 2029,Fuel
HR,8558,9513,955,Starbucks,food,12 December 2029,Food & Dining
Sales,17548,20087,2539,Starbucks,food,13 December 2029,Food & Dining
IT,14168,13346,-822,McDonald's,drinks,14 December 2029,Food & Dining
Operations,13675,15974,2299,Apple Store,app purchase,15 December 2029,Digital Services
Finance,9803,8366,-1437,Flipkart,online_shopping,16 December 2029,Shopping
Sales,10102,11448,1346,Shell,fuel purchase,17 December 2029,Fuel
Operations,16184,17485,1301,McDonald's,meal,18 December 2029,Food & Dining
Operations,5825,7924,2099,Shell,diesel,19 December 2029,Fuel
Marketing,14137,14073,-64,Uber,travel,20 December 2029,Transportation
Finance,16803,19409,2606,McDonald's,drinks,21 December 2029,Food & Dining
Marketing,7982,10070,2088,Uber,ride,22 December 2029,Transportation
Finance,7815,10579,2764,Uber,ride,23 December 2029,Transportation
Marketing,16579,17721,1142,Shell,diesel,24 December 2029,Fuel
Marketing,18500,16465,-2035,Shell,diesel,25 December 2029,Fuel
Finance,13886,11194,-2692,Uber,travel,26 December 2029,Transportation
Sales,17800,18382,582,Starbucks,food,27 December 2029,Food & Dining
Finance,16275,13357,-2918,Starbucks,coffee,28 December 2029,Food & Dining
Operations,19054,19446,392,Netflix,entertainment,29 December 2029,Entertainment
Sales,5507,6134,627,Flipkart,movie subscription,30 December 2029,Entertainment
Finance,8603,6321,-2282,Shell,fuel purchase,31 December 2029,Fuel
Finance,5284,6223,939,Amazon,movie subscription,01 January 2030,Entertainment
Marketing,17746,19267,1521,Amazon,online_shopping,02 January 2030,Shopping
IT,11263,13711,2448,McDonald's,coffee purchase,03 January 2030,Food & Dining
Finance,17291,14382,-2909,Amazon,movie subscription,04 January 2030,Entertainment
Finance,5900,3904,-1996,Starbucks,drinks,05 January 2030,Food & Dining
Sales,14617,17297,2680,Uber,ride to work,06 January 2030,Transportation
Finance,17182,14690,-2492,Netflix,movie,07 January 2030,Entertainment
Finance,12887,12360,-527,Apple Store,online shopping,08 January 2030,Shopping
HR,16327,19123,2796,Flipkart,movie subscription,09 January 2030,Entertainment
Operations,17142,15793,-1349,McDonald's,meal,10 January 2030,Food & Dining
Operations,16166,16638,472,Netflix,entertainment,11 January 2030,Entertainment
IT,14314,13307,-1007,Starbucks,drinks,12 January 2030,Food & Dining
Marketing,5607,5060,-547,Netflix,entertainment,13 January 2030,Entertainment
Marketing,19650,20678,1028,Apple Store,app purchase,14 January 2030,Digital Services
HR,15056,13265,-1791,Starbucks,food,15 January 2030,Food & Dining
Marketing,19018,17905,-1113,Apple Store,app purchase,16 January 2030,Digital Services
Operations,7887,6532,-1355,Flipkart,online shopping,17 January 2030,Shopping
Sales,15314,14222,-1092,Flipkart,online_shopping,18 January 2030,Shopping
IT,11925,12278,353,Apple Store,app purchase,19 January 2030,Digital Services
Operations,15042,17759,2717,Amazon,online_shopping,20 January 2030,Shopping
HR,12411,10092,-2319,Shell,fuel purchase,21 January 2030,Fuel
Operations,8773,7203,-1570,Amazon,movie subscription,22 January 2030,Entertainment
IT,7369,8378,1009,Uber,ride,23 January 2030,Transportation
IT,13955,13842,-113,Shell,fuel purchase,24 January 2030,Fuel
IT,18322,17190,-1132,Starbucks,food,25 January 2030,Food & Dining
